method;url;status
GET;https://biwyze.fr/;200
GET;https://biwyze.fr/blog;200
GET;https://biwyze.fr/developpement/web/site-vitrine;200
GET;https://biwyze.fr/developpement/web/e-commerce;200
GET;https://biwyze.fr/developpement/web;200
GET;https://biwyze.fr/contact;200
GET;https://biwyze.fr/blog/simple-methode-pour-interdire-des-champs-lors-de-la-validation-sur-laravel;200
GET;https://biwyze.fr/developpement/web/api-rest;200
GET;https://biwyze.fr/developpement/web/wordpress;200
GET;https://biwyze.fr/info/mentions-legales;200
GET;https://biwyze.fr/developpement/web/marketplace;200
HEAD;http://biwyze.fr/;301
GET;https://biwyze.fr/info/politique-de-confidentialite;200
GET;https://biwyze.fr/developpement/web/application-web;200
GET;https://biwyze.fr/developpement/web/formation;200
GET;https://biwyze.fr/developpement/web/seo;200
GET;https://biwyze.fr/info/credits;200
GET;https://biwyze.fr/developpement/web/depannage;200